=> loading checkpoint '/kaggle/working/illus_chgFirsttry/Gen_LaneNet_ext/model_best_epoch_49.pth.tar'
Evaluating sample 300 / 472
Evaluating sample 301 / 472
Evaluating sample 302 / 472
Evaluating sample 303 / 472
Evaluating sample 304 / 472
Evaluating sample 305 / 472
Evaluating sample 306 / 472
Evaluating sample 307 / 472
Evaluating sample 308 / 472
Evaluating sample 309 / 472
Evaluating sample 310 / 472
Evaluating sample 311 / 472
Evaluating sample 312 / 472
Evaluating sample 313 / 472
Evaluating sample 314 / 472
Evaluating sample 315 / 472
Evaluating sample 316 / 472
Evaluating sample 317 / 472
Evaluating sample 318 / 472
Evaluating sample 319 / 472
Evaluating sample 320 / 472
Evaluating sample 321 / 472
Evaluating sample 322 / 472
Evaluating sample 323 / 472
Evaluating sample 324 / 472
Evaluating sample 325 / 472
Evaluating sample 326 / 472
Evaluating sample 327 / 472
Evaluating sample 328 / 472
Evaluating sample 329 / 472
Evaluating sample 330 / 472
Evaluating sample 331 / 472
Evaluating sample 332 / 472
Evaluating sample 333 / 472
Evaluating sample 334 / 472
Evaluating sample 335 / 472
Evaluating sample 336 / 472
Evaluating sample 337 / 472
Evaluating sample 338 / 472
Evaluating sample 339 / 472
Evaluating sample 340 / 472
Evaluating sample 341 / 472
Evaluating sample 342 / 472
Evaluating sample 343 / 472
Evaluating sample 344 / 472
Evaluating sample 345 / 472
Evaluating sample 346 / 472
Evaluating sample 347 / 472
Evaluating sample 348 / 472
Evaluating sample 349 / 472
Evaluating sample 350 / 472
Evaluating sample 351 / 472
Evaluating sample 352 / 472
Evaluating sample 353 / 472
Evaluating sample 354 / 472
Evaluating sample 355 / 472
Evaluating sample 356 / 472
Evaluating sample 357 / 472
Evaluating sample 358 / 472
Evaluating sample 359 / 472
Evaluating sample 360 / 472
Evaluating sample 361 / 472
Evaluating sample 362 / 472
Evaluating sample 363 / 472
Evaluating sample 364 / 472
Evaluating sample 365 / 472
Evaluating sample 366 / 472
Evaluating sample 367 / 472
Evaluating sample 368 / 472
Evaluating sample 369 / 472
Evaluating sample 370 / 472
Evaluating sample 371 / 472
Evaluating sample 372 / 472
Evaluating sample 373 / 472
Evaluating sample 374 / 472
Evaluating sample 375 / 472
Evaluating sample 376 / 472
Evaluating sample 377 / 472
Evaluating sample 378 / 472
Evaluating sample 379 / 472
Evaluating sample 380 / 472
Evaluating sample 381 / 472
Evaluating sample 382 / 472
Evaluating sample 383 / 472
Evaluating sample 384 / 472
Evaluating sample 385 / 472
Evaluating sample 386 / 472
Evaluating sample 387 / 472
Evaluating sample 388 / 472
Evaluating sample 389 / 472
Evaluating sample 390 / 472
Evaluating sample 391 / 472
Evaluating sample 392 / 472
Evaluating sample 393 / 472
Evaluating sample 394 / 472
Evaluating sample 395 / 472
Evaluating sample 396 / 472
Evaluating sample 397 / 472
Evaluating sample 398 / 472
Evaluating sample 399 / 472
Evaluating sample 400 / 472
Evaluating sample 401 / 472
Evaluating sample 402 / 472
Evaluating sample 403 / 472
Evaluating sample 404 / 472
Evaluating sample 405 / 472
Evaluating sample 406 / 472
Evaluating sample 407 / 472
Evaluating sample 408 / 472
Evaluating sample 409 / 472
Evaluating sample 410 / 472
Evaluating sample 411 / 472
Evaluating sample 412 / 472
Evaluating sample 413 / 472
Evaluating sample 414 / 472
Evaluating sample 415 / 472
Evaluating sample 416 / 472
Evaluating sample 417 / 472
Evaluating sample 418 / 472
Evaluating sample 419 / 472
Evaluating sample 420 / 472
Evaluating sample 421 / 472
Evaluating sample 422 / 472
Evaluating sample 423 / 472
Evaluating sample 424 / 472
Evaluating sample 425 / 472
Evaluating sample 426 / 472
Evaluating sample 427 / 472
Evaluating sample 428 / 472
Evaluating sample 429 / 472
Evaluating sample 430 / 472
Evaluating sample 431 / 472
Evaluating sample 432 / 472
Evaluating sample 433 / 472
Evaluating sample 434 / 472
Evaluating sample 435 / 472
Evaluating sample 436 / 472
Evaluating sample 437 / 472
Evaluating sample 438 / 472
Evaluating sample 439 / 472
Evaluating sample 440 / 472
Evaluating sample 441 / 472
Evaluating sample 442 / 472
Evaluating sample 443 / 472
Evaluating sample 444 / 472
Evaluating sample 445 / 472
Evaluating sample 446 / 472
Evaluating sample 447 / 472
Evaluating sample 448 / 472
Evaluating sample 449 / 472
Evaluating sample 450 / 472
Evaluating sample 451 / 472
Evaluating sample 452 / 472
Evaluating sample 453 / 472
Evaluating sample 454 / 472
Evaluating sample 455 / 472
Evaluating sample 456 / 472
Evaluating sample 457 / 472
Evaluating sample 458 / 472
Evaluating sample 459 / 472
Evaluating sample 460 / 472
Evaluating sample 461 / 472
Evaluating sample 462 / 472
Evaluating sample 463 / 472
Evaluating sample 464 / 472
Evaluating sample 465 / 472
Evaluating sample 466 / 472
Evaluating sample 467 / 472
Evaluating sample 468 / 472
Evaluating sample 469 / 472
Evaluating sample 470 / 472
Evaluating sample 471 / 472
Metrics: AP, F-score, x error (close), x error (far), z error (close), z error (far)
Laneline:  0.875  0.858  0.0819  0.564  0.016  0.268
Centerline:  0.917  0.898  0.0699  0.527  0.0148  0.236
Init weights in network with [normal]
#reused param: 357
=> loading checkpoint '/kaggle/input/3d-gen-lanenet-pre/pretrained/gen_lanenet_geo_model.tar'
Init weights in network with [normal]
#reused param: 357
=> loading checkpoint '/kaggle/input/3d-gen-lanenet-pre/pretrained/gen_lanenet_geo_model.tar'
Init weights in network with [normal]
#reused param: 357
=> loading checkpoint '/kaggle/input/3d-gen-lanenet-pre/pretrained/gen_lanenet_geo_model.tar'
Init weights in network with [normal]
#reused param: 357
=> loading checkpoint '/kaggle/input/3d-gen-lanenet-pre/pretrained/gen_lanenet_geo_model.tar'
Init weights in network with [normal]
#reused param: 357
=> loading checkpoint '/kaggle/input/3d-gen-lanenet-pre/pretrained/gen_lanenet_geo_model.tar'
